Link,Yorum
https://www.trendyol.com/apple/ipad-mini-6-nesil-64-gb-8-3-wi-fi-mor-tablet-apple-turkiye-garantili-p-165271803?boutiqueId=638145&merchantId=968&advertItems=eyJhZHZlcnRJZCI6ImM3NjAwYWVkLTg1NTgtNGQ5OC05NTIzLTBkMTFmOTA5MDNmOSIsInNvcnRpbmdTY29yZSI6MC4yNzY5NTc4MDIyMzIzNTQ5LCJhZFNjb3JlIjowLjAzOTkwMTcxNDc3MTk4NjAxLCJhZFNjb3JlcyI6eyIxIjowLjAzOTkwMTcxNDc3MTk4NjAxLCIyIjowLjAzOTkwMTcxNDc3MTk4NjAxfSwiY3BjIjo2Ljk0MSwibWluQ3BjIjowLjAxLCJlQ3BjIjo2LjAxNTY2NDMwNDczMjg3NywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjIsImF0dHJpYnV0ZXMiOiIifQ==,Çok güzel ama en iyi
https://www.trendyol.com/apple/ipad-mini-6-nesil-64-gb-8-3-wi-fi-mor-tablet-apple-turkiye-garantili-p-165271803?boutiqueId=638145&merchantId=968&advertItems=eyJhZHZlcnRJZCI6ImM3NjAwYWVkLTg1NTgtNGQ5OC05NTIzLTBkMTFmOTA5MDNmOSIsInNvcnRpbmdTY29yZSI6MC4yNzY5NTc4MDIyMzIzNTQ5LCJhZFNjb3JlIjowLjAzOTkwMTcxNDc3MTk4NjAxLCJhZFNjb3JlcyI6eyIxIjowLjAzOTkwMTcxNDc3MTk4NjAxLCIyIjowLjAzOTkwMTcxNDc3MTk4NjAxfSwiY3BjIjo2Ljk0MSwibWluQ3BjIjowLjAxLCJlQ3BjIjo2LjAxNTY2NDMwNDczMjg3NywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjIsImF0dHJpYnV0ZXMiOiIifQ==,Renk çok hoş beklediğimden daha güzel. sorunsuz şekilde elime ulaştı teşekkür ederim ❤️
https://www.trendyol.com/apple/ipad-mini-6-nesil-64-gb-8-3-wi-fi-mor-tablet-apple-turkiye-garantili-p-165271803?boutiqueId=638145&merchantId=968&advertItems=eyJhZHZlcnRJZCI6ImM3NjAwYWVkLTg1NTgtNGQ5OC05NTIzLTBkMTFmOTA5MDNmOSIsInNvcnRpbmdTY29yZSI6MC4yNzY5NTc4MDIyMzIzNTQ5LCJhZFNjb3JlIjowLjAzOTkwMTcxNDc3MTk4NjAxLCJhZFNjb3JlcyI6eyIxIjowLjAzOTkwMTcxNDc3MTk4NjAxLCIyIjowLjAzOTkwMTcxNDc3MTk4NjAxfSwiY3BjIjo2Ljk0MSwibWluQ3BjIjowLjAxLCJlQ3BjIjo2LjAxNTY2NDMwNDczMjg3NywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjIsImF0dHJpYnV0ZXMiOiIifQ==,ürün gayet guzek duruyor
https://www.trendyol.com/apple/ipad-mini-6-nesil-64-gb-8-3-wi-fi-mor-tablet-apple-turkiye-garantili-p-165271803?boutiqueId=638145&merchantId=968&advertItems=eyJhZHZlcnRJZCI6ImM3NjAwYWVkLTg1NTgtNGQ5OC05NTIzLTBkMTFmOTA5MDNmOSIsInNvcnRpbmdTY29yZSI6MC4yNzY5NTc4MDIyMzIzNTQ5LCJhZFNjb3JlIjowLjAzOTkwMTcxNDc3MTk4NjAxLCJhZFNjb3JlcyI6eyIxIjowLjAzOTkwMTcxNDc3MTk4NjAxLCIyIjowLjAzOTkwMTcxNDc3MTk4NjAxfSwiY3BjIjo2Ljk0MSwibWluQ3BjIjowLjAxLCJlQ3BjIjo2LjAxNTY2NDMwNDczMjg3NywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjIsImF0dHJpYnV0ZXMiOiIifQ==,"5 yıldızım satıcıya, çok teşekkür ederiz ilginiz için. tablet hakkında yorum yapacak olursam bataryasının çok az ömürlü olduğunu söyleyebilirim. ipad 8. nesil kullanıyordum bundan önce, 4 yılı oldu ve bataryasının ömrü azaldı bu yüzden değiştirmek istedim ancak 4 yıl kullanılmış tabletle bu tabletin bataryalarının aynı olduğunu söyleyebilirim 3 saatte şarjı bitiyor ipad mini’nin. iyi yanı şarjının dolumu çok hızlı o açıdan dengeliyor."
https://www.trendyol.com/apple/ipad-mini-6-nesil-64-gb-8-3-wi-fi-mor-tablet-apple-turkiye-garantili-p-165271803?boutiqueId=638145&merchantId=968&advertItems=eyJhZHZlcnRJZCI6ImM3NjAwYWVkLTg1NTgtNGQ5OC05NTIzLTBkMTFmOTA5MDNmOSIsInNvcnRpbmdTY29yZSI6MC4yNzY5NTc4MDIyMzIzNTQ5LCJhZFNjb3JlIjowLjAzOTkwMTcxNDc3MTk4NjAxLCJhZFNjb3JlcyI6eyIxIjowLjAzOTkwMTcxNDc3MTk4NjAxLCIyIjowLjAzOTkwMTcxNDc3MTk4NjAxfSwiY3BjIjo2Ljk0MSwibWluQ3BjIjowLjAxLCJlQ3BjIjo2LjAxNTY2NDMwNDczMjg3NywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjIsImF0dHJpYnV0ZXMiOiIifQ==,Ürün gayet güzel memnun kaldım alacaklara tavsiye ederim
https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-samsung-turkiye-garantili-p-767487787?boutiqueId=61&merchantId=787811,Oğlum için aldım çok beğendi teşekkür ederim.
https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-samsung-turkiye-garantili-p-767487787?boutiqueId=61&merchantId=787811,Kardeşim için aldım memnunuz
https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-samsung-turkiye-garantili-p-767487787?boutiqueId=61&merchantId=787811,oğlum için almıştım harika
https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-samsung-turkiye-garantili-p-767487787?boutiqueId=61&merchantId=787811,cocuklar için aldim gayet yeterli hafızası is görür tavsiye ederim bir puanı şarj  aleti için kırdım
https://www.trendyol.com/samsung/galaxy-tab-a9-64-gb-graphite-samsung-turkiye-garantili-p-767487787?boutiqueId=61&merchantId=787811,Fazlasıyla beklentimizi karşıladı sorunsuz geldi
https://www.trendyol.com/samsung/galaxy-tab-a8-3-gb-ram-32-gb-hafiza-gri-tablet-samsung-turkiye-garantili-p-222492817?boutiqueId=638145&merchantId=968,saglam paketlenmis .hızlı kargo saticiya ve kargoya tesekkür ederiz ürün gayet kaliteli zaten ama bir sorun var ☆ürün icin hızlı sarj degl normal sarj aleti göndermisler
https://www.trendyol.com/samsung/galaxy-tab-a8-3-gb-ram-32-gb-hafiza-gri-tablet-samsung-turkiye-garantili-p-222492817?boutiqueId=638145&merchantId=968,Satıcıyı trendyol olarak seçip aldım. Sağlam bir şekilde ulaştı. Android son sürüm hızı idare eder bir şeyler izlemek arada da normal oyunlar oynamak için aldım.
https://www.trendyol.com/samsung/galaxy-tab-a8-3-gb-ram-32-gb-hafiza-gri-tablet-samsung-turkiye-garantili-p-222492817?boutiqueId=638145&merchantId=968,Çocuklarım için aldım ses görüntü kalitesi tam beklediğim gibi ürünü çarşamba sipariş verdim perşembe sabah elime ulaştı bundan hızlısını görmedim
https://www.trendyol.com/samsung/galaxy-tab-a8-3-gb-ram-32-gb-hafiza-gri-tablet-samsung-turkiye-garantili-p-222492817?boutiqueId=638145&merchantId=968,Ürünü 16 şubatta sipariş verdim 17 şubatta elime ulaştı paketlemesi çok iyiydi herşey için teşekkür ediyorum trendyol
https://www.trendyol.com/samsung/galaxy-tab-a8-3-gb-ram-32-gb-hafiza-gri-tablet-samsung-turkiye-garantili-p-222492817?boutiqueId=638145&merchantId=968,teslim aldık.. çocuğum için almıştık memnun kaldık ... teşekkürler Trendyol 😊
https://www.trendyol.com/apple/ipad-pro-6-nesil-1tb-12-9-wi-fi-tablet-uzay-grisi-p-380268911?boutiqueId=638145&merchantId=968&advertItems=eyJhZHZlcnRJZCI6ImM3NjAwYWVkLTg1NTgtNGQ5OC05NTIzLTBkMTFmOTA5MDNmOSIsInNvcnRpbmdTY29yZSI6MC4yMzkyMzcyODY0MzM1Nzc1MywiYWRTY29yZSI6MC4wMzQ0NjcyNjUwMDk4ODAwNjYsImFkU2NvcmVzIjp7IjEiOjAuMDM0NDY3MjY1MDA5ODgwMDY2LCIyIjowLjAzNDQ2NzI2NTAwOTg4MDA2Nn0sImNwYyI6Ni45NDEsIm1pbkNwYyI6MC4wMSwiZUNwYyI6NC43NTc5MzY5MzYxODIyMDgsImFkdmVydFNsb3QiOjIsIm9yZGVyIjo1LCJhdHRyaWJ1dGVzIjoiIn0=,Kamerası çok iyi değil.diğer özellikler güzel.
https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-4gb-256gb-ssd-dos-15-6-arctic-grey-laptop-82rk00xbtx-p-772120070?boutiqueId=61&merchantId=640802,fena değil güzel ürün öğrenci işi kibar film izlenir ödev yapılır oyun oynanmaz
https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-4gb-256gb-ssd-dos-15-6-arctic-grey-laptop-82rk00xbtx-p-772120070?boutiqueId=61&merchantId=640802,Lenovo her zaman kalitedir.  Alın falan yani
https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-4gb-256gb-ssd-dos-15-6-arctic-grey-laptop-82rk00xbtx-p-772120070?boutiqueId=61&merchantId=640802,Ürün güzel windows 11 programı yünlü değil ama
https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-4gb-256gb-ssd-dos-15-6-arctic-grey-laptop-82rk00xbtx-p-772120070?boutiqueId=61&merchantId=640802,"Ürünün artıları: Lenovo kalitesi ve 12. Nesil İşlemci Hızı, geniş ekran, hafiflik  Ürünün eksileri: Ekran kalitesi, tek ram slotu olması ve anakarta gömülü olması nedeniyle ram arttıramama"
https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-4gb-256gb-ssd-dos-15-6-arctic-grey-laptop-82rk00xbtx-p-772120070?boutiqueId=61&merchantId=640802,Ürün sağlam şekilde elimize ulaştı paketleme güzeldi
https://www.trendyol.com/samsung/galaxy-tab-a9-plus-64-gb-koyu-gri-tablet-samsung-turkiye-garantili-p-767487808?boutiqueId=61&merchantId=688855,"öncelikle ekranla başlayayım çok tatmin edici bir ekran çözünürlüğü yok tabletin ara yüzünde. başlarda alışamadım ama sonra gözüm alıştı fiyat performans  ürünü neticede. youtube 1080p sorunsuz açılıyor, blu tv kullanıyorum ve seyir keyfi verdi fp ürünü olarak. ama tabii ki üst segment cihazlar gibi cok iyi HD bir görüntü bekleyen için hayal kırıklığı olacaktır. video izlemek okuma yapmak için ekran büyüklüğü gayet iyi. şarj konusunda ise PDF vb okumalar yaparken şarj pek bitmiyor,  video izlediğimde çabuk bitiyor ve 3 - 3.5 saat gibi de doluyo"
https://www.trendyol.com/samsung/galaxy-tab-a9-plus-64-gb-koyu-gri-tablet-samsung-turkiye-garantili-p-767487808?boutiqueId=61&merchantId=688855,Ürün güzel çocuğun için aldı tereddüt de kalmıştım ama kapalı kutu
https://www.trendyol.com/samsung/galaxy-tab-a9-plus-64-gb-koyu-gri-tablet-samsung-turkiye-garantili-p-767487808?boutiqueId=61&merchantId=688855,Cok hizli ve saglam geldi tesekkur ediyorum
https://www.trendyol.com/samsung/galaxy-tab-a9-plus-64-gb-koyu-gri-tablet-samsung-turkiye-garantili-p-767487808?boutiqueId=61&merchantId=688855,"Sorunsuz bişekilde geldi ekran boyutu ideal , fiyat performans ürünü 👍"
https://www.trendyol.com/samsung/galaxy-tab-a9-plus-64-gb-koyu-gri-tablet-samsung-turkiye-garantili-p-767487808?boutiqueId=61&merchantId=688855,saglam ve hizki geldi tesekkurler guzel tablet...
https://www.trendyol.com/lenovo/ideapad-gaming-3-15ihu6-intel-core-i7-11370h-16gb-256gb-ssd-1tb-hdd-notebook-82k1012vtx-p-349124564?boutiqueId=61&merchantId=122596&advertItems=eyJhZHZlcnRJZCI6IjVlN2VlYzVhLTQ3ZmMtNGMzNS1hODgzLTA0NmI4ZWE2NmQxMSIsInNvcnRpbmdTY29yZSI6MC4xNjMzMDM3MjgzMjg5NDMyNCwiYWRTY29yZSI6MC4wMzk5NDY3MDUxMDI5MjA1MywiYWRTY29yZXMiOnsiMSI6MC4wMzk5NDY3MDUxMDI5MjA1MywiMiI6MC4wMzk5NDY3MDUxMDI5MjA1M30sImNwYyI6NC4wODgwMzk5OTk5OTk5OTk1LCJtaW5DcGMiOjAuMDEsImVDcGMiOjMuODQyNjM2ODI5NjQ5MjE5NywiYWR2ZXJ0U2xvdCI6Mywib3JkZXIiOjgsImF0dHJpYnV0ZXMiOiIifQ==,"Kargo sağlam geldi ve üründe hediye mouse ile geldi, çok teşekkür ederiz satıcıya"
https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-dos-15-6-gri-laptop-82v700a8tx-p-773962718?boutiqueId=61&merchantId=110963,Çok beğendim teşekkürler Trendyol
https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-dos-15-6-gri-laptop-82v700a8tx-p-773962718?boutiqueId=61&merchantId=110963,kızıma.aldik.cok beğendim yiyegime.de aldik
https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-dos-15-6-gri-laptop-82v700a8tx-p-773962718?boutiqueId=61&merchantId=110963,Paketlenişinden gayet memnunum emeği geçenlere teşekkürler.
https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-dos-15-6-gri-laptop-82v700a8tx-p-773962718?boutiqueId=61&merchantId=110963,paketleme iyiydi hemen kargolandi
https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-dos-15-6-gri-laptop-82v700a8tx-p-773962718?boutiqueId=61&merchantId=110963,paketlenmesi güzel 1 ay oldu alalı çok şükür hiç ni sorun çıkmadı daha
https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-xiaomi-turkiye-garantili-p-770228964?boutiqueId=61&merchantId=190694,çok güzel ürün kızıma hediye aldım  çok beğendim kablolar da hepsi var👍👍kendine de aynısından almayı düşünüyorum .satıcıya teşekkür ederim sağlam hasarsız geldi ürün paketlemede özen höstermişler
https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-xiaomi-turkiye-garantili-p-770228964?boutiqueId=61&merchantId=190694,Oğlum için almıştık.Gayet beğenerek kullanıyor.Zaten oyun oynamak için aldı.Amacina uygun.Fazlasi da var
https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-xiaomi-turkiye-garantili-p-770228964?boutiqueId=61&merchantId=190694,"2 günde elime sapasağlam ulaştı. Ürün çok iyi. Hızı yeterli. Bu fiyata alınabilecek en iyilerden diyebilirim. Ekran boyutunun büyük olması, inceliği süper."
https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-xiaomi-turkiye-garantili-p-770228964?boutiqueId=61&merchantId=190694,Ikı gunde elime ulaştı paketlemesı de güzel oğlum papçi yukledi sorunsuz oynuyor kızım doping hafızaya rahat giriyor şimdilik memnunum teşekkür ederiz
https://www.trendyol.com/xiaomi/redmi-pad-se-8-256-gb-tablet-gri-xiaomi-turkiye-garantili-p-770228964?boutiqueId=61&merchantId=190694,beğeniyorum çok teşekkür ederim kutu güzel onur kral
https://www.trendyol.com/monster/abra-a5-v21-1-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-787762724?boutiqueId=61&merchantId=105286,Paketlenmesi çok iyi kargo da çok hızlıydı çok memnun kaldım teşekkürler monster
https://www.trendyol.com/monster/abra-a5-v21-1-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-787762724?boutiqueId=61&merchantId=105286,"biraz kullanıp yorum yapmak istedim. sipariş iki gün dolmadan elime ulaştı. kargolama çok güzeldi. freedos geliyor ama kurulum çok kolay en az 8 gb flasha win 11 i resmi siteden kurup tabii farklı bir bilgisayardan, monstera flashı takıp boot ile yükleyebilirsiniz ayarlar ekranındayken flashı takın ve seçenekleri disable olarak değiştirmeyi unutmayın. Tam bir fiyat performans ürünü. Düşünmeden alabilirsiniz. Açamayacağı bir oyun olmadığını düşünüyorum. Hediyeler için teşekkürler :)"
https://www.trendyol.com/monster/abra-a5-v21-1-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-787762724?boutiqueId=61&merchantId=105286,Paketleme güzeldi. Hediye çanta ve USB ile geldi. Teşekkürler MonsterNotebook
https://www.trendyol.com/monster/abra-a5-v21-1-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-787762724?boutiqueId=61&merchantId=105286,Paketlemesi iyi önceden kullanıyorum gayet iyi  küçük bir sorun mat ekran olduğu için aydınlık ortamda yansıma yapıyor
https://www.trendyol.com/monster/abra-a5-v21-1-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-787762724?boutiqueId=61&merchantId=105286,hediye aldım havalara uçtular çok güzel herkese tavsiye ediyorum 🌸
https://www.trendyol.com/acer/aspire3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-windows-11-dizustu-bilgisayar-acer-tr-garantili-p-752965828?boutiqueId=638145&merchantId=968,kızıma aldım gayet memnun.
https://www.trendyol.com/acer/aspire3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-windows-11-dizustu-bilgisayar-acer-tr-garantili-p-752965828?boutiqueId=638145&merchantId=968,Gayet güzel çalışıyor paketlenmesi vs çok iyiydi beğendim.
https://www.trendyol.com/acer/aspire3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-windows-11-dizustu-bilgisayar-acer-tr-garantili-p-752965828?boutiqueId=638145&merchantId=968,Güzel paketlenmişti teşekkür ederim
https://www.trendyol.com/acer/aspire3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-windows-11-dizustu-bilgisayar-acer-tr-garantili-p-752965828?boutiqueId=638145&merchantId=968,Ürün çok korunaklı geldi öncelikle bundan dolayı teşekkürler piyasa fiyatının cidden çok altında bir ürün kargo da hasar görürmü diye korkmuştum ama hem koruyucu pat pat hemde çift kat kartonla sarılmıştı alacaklara tavsiyemdir.!
https://www.trendyol.com/acer/aspire3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-windows-11-dizustu-bilgisayar-acer-tr-garantili-p-752965828?boutiqueId=638145&merchantId=968,"Fiyat performans ürünü gerçekten. Hem işlerimi yapayım hem filmimi izleyeyim hem oyunumu oynayayım bilgisayarı. Paketlemesi de gayet sağlamdı, teşekkürler 👍🏽"
https://www.trendyol.com/honor/pad-x9-4gb-128gb-wifi-11-5-uzay-gri-tablet-p-749119396?boutiqueId=61&merchantId=463574,Yıldız az verdim yorumları okuyorum kılıf hediye edilmiş neden bize kılıf gönderilmedi müşteriler eşit davranılması gerekmiyormu
https://www.trendyol.com/honor/pad-x9-4gb-128gb-wifi-11-5-uzay-gri-tablet-p-749119396?boutiqueId=61&merchantId=463574,Minik yeğenime aldım. Sorunsuz çizgi film izliyor ve oyun oynuyor:)
https://www.trendyol.com/honor/pad-x9-4gb-128gb-wifi-11-5-uzay-gri-tablet-p-749119396?boutiqueId=61&merchantId=463574,ürün gayet iyi başarılı  kargo başarılı  kılıf hediyesi için ayriyeten teşekkürler
https://www.trendyol.com/honor/pad-x9-4gb-128gb-wifi-11-5-uzay-gri-tablet-p-749119396?boutiqueId=61&merchantId=463574,Çok memnunuz kardeşime aldık gayet kullanışlı kılıf hediyesiyle geldi
https://www.trendyol.com/honor/pad-x9-4gb-128gb-wifi-11-5-uzay-gri-tablet-p-749119396?boutiqueId=61&merchantId=463574,"ilk defa 11,5 inçlik ekranlı tablet  aldım baya büyük geldi bence  film için oyun için muhteşem zaten oyun tableti gibi"
https://www.trendyol.com/lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284?boutiqueId=638145&merchantId=968,öğrenci indiriminden faydalanmak için almıştık ama kargo ücreti faturaya yansıyınca faydalanamadık haricinde iyi
https://www.trendyol.com/lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284?boutiqueId=638145&merchantId=968,Çok güzel beğendim
https://www.trendyol.com/lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284?boutiqueId=638145&merchantId=968,günün ortak kalite tavsiye ederim Yeni bilgisayar kullanmaya başlayanlar için ideal
https://www.trendyol.com/lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284?boutiqueId=638145&merchantId=968,fiyat performans ürünü... gündelik iş okul ofis medya vs için oldukça tatmin edici
https://www.trendyol.com/lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284?boutiqueId=638145&merchantId=968,Beğendim
https://www.trendyol.com/lenovo/loq-12-nesil-core-i5-12450h-rtx3050-6gb-8gb-512gb-ssd-15-6-w11-p-779236201?boutiqueId=61&merchantId=122596&advertItems=eyJhZHZlcnRJZCI6IjVlN2VlYzVhLTQ3ZmMtNGMzNS1hODgzLTA0NmI4ZWE2NmQxMSIsInNvcnRpbmdTY29yZSI6MC4xMTUxNDU3NTA4Nzg3NTEyNiwiYWRTY29yZSI6MC4wMzM3NDUzMTEyMDA2MTg3NDQsImFkU2NvcmVzIjp7IjEiOjAuMDMzNzQ1MzExMjAwNjE4NzQ0LCIyIjowLjAzMzc0NTMxMTIwMDYxODc0NH0sImNwYyI6My40MTIxOTk5OTk5OTk5OTk1LCJtaW5DcGMiOjAuMDEsImVDcGMiOjMuMTE2NTIwODQ5NDM1MDY0LCJhZHZlcnRTbG90Ijo2LCJvcmRlciI6MTYsImF0dHJpYnV0ZXMiOiIifQ==,çok güzelsin tavsiye ederim
https://www.trendyol.com/lenovo/loq-12-nesil-core-i5-12450h-rtx3050-6gb-8gb-512gb-ssd-15-6-w11-p-779236201?boutiqueId=61&merchantId=122596&advertItems=eyJhZHZlcnRJZCI6IjVlN2VlYzVhLTQ3ZmMtNGMzNS1hODgzLTA0NmI4ZWE2NmQxMSIsInNvcnRpbmdTY29yZSI6MC4xMTUxNDU3NTA4Nzg3NTEyNiwiYWRTY29yZSI6MC4wMzM3NDUzMTEyMDA2MTg3NDQsImFkU2NvcmVzIjp7IjEiOjAuMDMzNzQ1MzExMjAwNjE4NzQ0LCIyIjowLjAzMzc0NTMxMTIwMDYxODc0NH0sImNwYyI6My40MTIxOTk5OTk5OTk5OTk1LCJtaW5DcGMiOjAuMDEsImVDcGMiOjMuMTE2NTIwODQ5NDM1MDY0LCJhZHZlcnRTbG90Ijo2LCJvcmRlciI6MTYsImF0dHJpYnV0ZXMiOiIifQ==,"Grafik tasarım için aldım ürünün kasası süper iki kademe beyaz renk klavye aydınlatması var cihaz gerçekten çok güçlü. sessiz modda(fan çalışmıyor) güç tasarrufu modu yarı parlaklıkta pil 5 saat gidiyor normal modda 3 saat civarı.oyun oynayacaksınız yüksek performansta güce takılı oynamanız lazım.Ben oyun oynamadığım için pek yorum yapamıyorum ilerde 8GB ram gerekirse eklerim Max 16gb destekliyor ramlar bu modelde 4800 MHz ddr5 sodim  notebook ramı uyumlu Windows 11 Home yüklü olarak geliyor. Ekran kartı 95W 6 gb rtx3050, İps ekran...Loq çok ye"
